Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151
LIVER_RNA_HET_1_S4_L001_1 - Adapter 1	55643565	16188974	6344024	2255385	852931	642287	595481	548323	532573	530172	516556	556051	465843	490244	466195	606528	334258	425446	403254	421757	423103	386445	381098	349988	358174	334312	354873	299991	326247	292659	279245	285497	240254	252315	229072	225320	200745	191065	183311	172541	173920	169830	162633	171872	137640	106132	210680	30535	75942	321133	204317	20899	52098	57939	18212	12283	34429	24184	6364	7535	7583	4501	5524	20512	7713	7396	6971	14024	4261	3051	5229	7640	2595	3404	5251	9030	6077	6622	5097	4305	4138	3579	3479	2981	2825	3187	3528	3092	2360	2211	2122	1885	1583	1728	1485	1306	1551	1373	1715	1500	1428	1425	2034	1377	1953	2577	2148	1206	1074	1195	924	967	901	1127	1289	1336	1281	904	997	1077	1306	1997	1471	1262	1136	1276	1343	1397	1108	1104	737	761	945	1004	1855	1031	1580	987	1421	1386	787	900	1632	674	1220	830	2506	2104	2392	22603	1084
LIVER_RNA_HET_1_S4_L001_2 - Adapter 1	56267871	16863255	6557103	1940801	881116	676463	594080	566690	528585	549183	528945	530708	480539	491522	466905	520990	408252	441809	430814	412124	420535	413354	377731	366792	361305	330712	330854	332207	309550	285357	293397	279423	254442	247802	233193	247216	236827	136601	203683	160468	173878	160865	177670	148698	121393	130432	109477	101475	111019	93341	82408	73520	68464	64124	81305	63453	44345	47209	43215	34438	38109	42843	37279	26014	28774	21182	18776	12276	14633	15738	10668	9732	9881	10294	18285	9373	13504	5253	5175	15893	16263	4594	4135	3745	5559	5303	7137	8354	4114	3083	2397	2988	2782	7797	2887	16172	4923	9223	3944	6292	2123	2869	2331	8437	21371	1663	4447	1766	2672	4244	1675	1665	1662	6116	10397	1994	6560	5023	2839	3014	2044	1946	1957	12027	6278	22193	4270	8490	1413	3995	4478	3934	1870	2242	1586	4869	3247	1885	7679	2250	7038	4107	6072	9034	6243	6621	3224	7028	8372	25875	327
LIVER_RNA_HET_2_S5_L001_1 - Adapter 1	51339463	15337541	5940087	2094832	842530	657599	593882	568917	528442	546821	519583	554846	467430	505925	463898	642432	324306	417143	397847	419969	418376	373703	385601	343235	351004	327887	336000	300594	314425	264064	279426	259628	240683	249111	236990	169114	190106	176128	168007	169805	155492	154590	129085	125937	120515	109502	157567	25837	67806	83097	76430	45988	63041	54139	41148	42202	57880	30812	35038	30545	28136	13357	9853	29140	16376	10853	10379	22186	9491	12799	7231	8313	3377	4898	6457	8523	5747	5586	4375	3786	3497	3114	3197	2804	2567	2673	2916	2728	2117	2060	2000	1903	1451	1600	1399	1350	1405	1381	1855	1389	1401	1454	2130	1415	1672	2428	2412	1304	1234	1204	956	972	987	1287	1311	1578	1484	970	1097	1215	1639	2044	1584	1501	1046	1279	1290	1444	1029	1272	808	803	1019	1207	1706	1159	1593	995	1413	1496	835	936	1635	654	1170	827	2704	2251	2549	4653	1245
LIVER_RNA_HET_2_S5_L001_2 - Adapter 1	52455212	15857308	6094891	1881773	875510	687281	598213	574988	528760	553358	527471	538337	475665	499912	465984	527526	410307	431451	429198	406418	414062	406597	370429	358545	353139	322102	321198	321299	293351	275309	279724	260286	283796	193926	218529	227486	162758	220776	128150	164990	151949	146456	156920	133515	102827	114191	95022	86947	93742	79723	67707	63215	56411	53265	67039	49013	38277	39141	39427	24828	30909	33520	29729	21022	24001	16984	15524	9784	12301	13050	8912	7917	8095	8500	15280	7828	10934	4633	4788	13563	12753	4059	3976	3419	4793	4151	6051	7233	3695	2760	2254	2859	2507	6332	2672	13232	4861	8632	3650	5621	1888	2608	2246	6600	17887	1704	4019	1802	3031	3734	1704	1615	1787	5462	8116	1954	5249	4583	2741	2560	1779	1761	1872	10280	5490	18479	4268	7985	1489	3280	3957	3419	1785	2018	1599	4294	2928	1876	6967	2190	6131	3346	5145	7381	5818	5740	3095	5808	6885	6690	400
LIVER_RNA_SMA_1_S1_L001_1 - Adapter 1	56938163	16970198	6640506	2443450	1009454	812511	737513	713722	670598	694689	658687	704444	595846	643392	586025	754249	464065	536131	502949	532281	535708	477792	495210	439247	448239	417587	419953	389300	400903	331735	373101	319682	319239	297076	269105	255324	236137	264891	201777	177630	194619	200275	161097	150477	147460	149844	189817	38621	84549	100833	85775	65524	77324	65961	53511	53115	64631	37346	42388	37650	36461	19029	13980	34271	21057	14252	12913	26278	12740	16389	8929	9187	3849	5794	7775	10290	6957	6759	5266	4323	3893	3606	3662	3079	2894	3320	3404	3224	2447	2230	2233	1901	1811	1758	1468	1436	1623	1476	1840	1553	1322	1415	2331	1435	1992	2740	2588	1322	1344	1251	1046	1110	943	1268	1397	1373	1454	945	1091	1221	1552	2013	1721	1591	1122	1507	1401	1657	1116	1231	807	923	913	1099	1963	1197	1747	1024	1520	1444	836	983	1909	799	1233	803	2533	2313	2519	7068	1096
LIVER_RNA_SMA_1_S1_L001_2 - Adapter 1	58550326	17386540	6883153	2132179	1045753	830142	742317	716485	666105	695640	666944	679331	609263	631220	587525	657891	523789	548582	542426	514186	526516	520191	472447	455542	448909	408633	406796	406575	372517	349010	354860	334564	318368	284744	272574	258884	235000	216163	212705	203652	194778	184095	183762	157118	137721	139021	117397	112882	109613	95616	86412	74974	69772	64733	79166	61674	44817	46632	47044	30265	36394	39795	33371	24863	27785	19452	18183	12096	13986	14582	10518	9323	9758	9785	17026	8844	11563	4905	5164	14139	14462	4404	4107	3776	5177	4981	6379	7864	4148	2947	2394	2896	2507	6581	2739	13847	5025	9672	3713	5578	2142	2723	2564	7014	19922	1684	3947	1736	2667	3980	1915	1691	1755	6415	9062	1930	6075	4803	3111	3124	1794	1796	2015	11130	5850	20017	5028	8668	1443	3544	4810	3924	1925	2108	1520	4622	3421	1954	9226	2535	7348	3687	6002	8859	6508	6743	3464	6262	8705	9981	360
LIVER_RNA_SMA_2_S2_L001_1 - Adapter 1	46233256	13868488	5332796	1943457	782483	625167	560458	544580	507059	531088	500571	533055	450388	485356	440793	567282	355936	399677	381465	402612	402002	361960	372823	333949	339827	316579	311101	304389	304411	254158	278230	249416	238037	233394	212322	186925	187980	175802	160552	162656	183347	109026	132636	135701	143055	76130	167696	15324	74808	137174	63353	33758	69889	53404	30593	50224	83230	19876	30458	15624	23130	6188	5237	27743	10982	4662	8280	18789	5147	8469	7011	7675	2341	3751	5929	7744	5363	5384	4414	3654	3355	3201	3035	2576	2485	2709	2751	2491	2162	1982	1977	1670	1411	1560	1298	1252	1354	1309	1566	1325	1275	1318	1773	1183	1709	2020	2036	1174	1136	1107	927	883	855	1255	1124	1257	1285	971	1021	1105	1342	1657	1386	1346	940	1158	1175	1293	1034	1168	748	783	933	970	1459	1026	1413	905	1227	1416	657	841	1652	649	1203	674	2236	1932	2185	7240	872
LIVER_RNA_SMA_2_S2_L001_2 - Adapter 1	47516916	14305735	5603067	1711791	818630	634256	565734	546170	505788	530727	504677	513346	461733	476188	445187	501802	388099	417242	407347	390290	398016	392392	358947	347136	340300	310378	309841	311120	286222	265022	273688	259454	229387	230957	224418	217495	150399	176416	195139	143908	139965	135518	152910	122736	109757	112330	92986	89379	92046	76616	70939	59721	56865	52229	67645	50595	37398	38468	38613	24811	29742	33719	29619	20437	23067	16910	15196	10027	11683	12599	8782	7603	7876	8482	14737	7714	10386	4395	4536	12235	12989	4053	3679	3306	4746	4305	5735	7022	3758	2692	2024	2540	2442	5999	2399	12220	4391	8181	3201	5245	1921	2449	2245	6701	17597	1599	3602	1662	2380	3864	1695	1569	1632	5617	8682	1890	5434	4479	2605	2613	1710	1708	1616	10283	5162	18871	3807	7396	1289	3293	4162	3392	1759	2038	1490	3950	3045	1752	7687	2293	6523	3423	5469	7816	5887	6085	2929	6168	7512	9777	340
P7_LIVER_RNA_HET_3_S6_L001_1 - Adapter 1	57273732	17144844	6567026	2187746	959871	760423	671440	650539	608402	632293	597608	638473	534841	575465	522631	684476	415814	468443	452233	476765	474387	423218	442695	393120	397809	376349	378984	341483	359602	304971	318149	295944	278926	288940	229348	233812	218268	211066	190488	184406	181136	181631	146795	151037	163452	103276	195013	20807	82720	105877	82038	57803	74360	63988	50679	52991	73305	34828	44473	35605	32618	15861	11460	35465	20265	12022	11443	26286	10553	15151	8581	8140	3312	5256	7294	8562	6670	6509	5412	4592	4373	3882	3807	3235	3101	3405	3372	3182	2763	2630	2308	2044	1868	2078	1737	1762	2001	1800	2172	1619	1728	1779	2369	1799	2194	2420	2826	1651	1360	1533	1344	1275	1190	2080	1677	1956	2047	1392	1455	1380	2169	2587	1806	1792	1200	1475	1379	1638	1427	1424	1070	1005	1338	1503	1938	1393	1788	1255	1761	2208	978	1281	1987	711	1603	997	3065	2768	3336	18232	1420
P7_LIVER_RNA_HET_3_S6_L001_2 - Adapter 1	58532970	17844456	6766747	2109032	999270	780411	675676	649500	611549	629719	600264	621263	541612	564501	521956	584670	473169	482187	489336	458359	470299	457142	422006	408806	398386	367022	362533	362469	334099	311294	319680	296068	273450	272869	261712	218235	217010	207210	200331	183928	186327	166493	174808	146616	128324	130968	109998	106597	105551	92393	82946	73396	69337	64156	74372	59475	44668	45899	46297	31435	35778	38787	33900	24730	28640	19838	18577	12823	14554	15020	11273	9978	10135	10303	16926	9276	11907	5339	6296	13528	13966	5067	4675	4307	5533	5217	6574	7445	4179	3576	2740	3278	3143	7410	2941	11628	5097	8446	3924	5354	2317	2804	2770	7139	17352	2088	4539	2105	3385	4085	2188	2102	2059	5860	7918	2526	5325	4047	3044	2871	2178	2062	2107	9830	5510	16301	3985	7366	1710	3957	4233	3536	2282	2445	1895	4332	3261	2089	7515	2667	6024	3548	5433	6814	5719	5654	3171	5889	7690	20452	447
