Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151
LIVER_RNA_HET_1_S4_L001_1 - Adapter 1	0.9192589172851319	1.0697990800572201	1.6769021010864165	2.3846441597504406	3.607254509221447	10.865557363792924	40.29482815788227	148.41602381919068	576.627327847553	2296.1108705067127	8952.443674176777	38614.652777777774	32350.208333333332	34044.72222222222	32374.652777777777	42120.0	23212.36111111111	29544.86111111111	28003.75	29288.680555555555	29382.152777777777	26836.458333333332	26465.138888888887	24304.722222222223	24873.194444444445	23216.11111111111	24643.958333333332	20832.708333333332	22656.041666666668	20323.541666666668	19392.013888888887	19826.180555555555	16684.305555555555	17521.875	15907.777777777777	15647.222222222223	13940.625	13268.402777777777	12729.930555555555	11982.013888888889	12077.777777777777	11793.75	11293.958333333334	11935.555555555555	9558.333333333334	7370.277777777777	14630.555555555555	2120.486111111111	5273.75	22300.902777777777	14188.680555555555	1451.3194444444443	3617.9166666666665	4023.5416666666665	1264.7222222222222	852.9861111111111	2390.902777777778	1679.4444444444443	441.94444444444446	523.2638888888889	526.5972222222222	312.56944444444446	383.6111111111111	1424.4444444444443	535.625	513.6111111111111	484.09722222222223	973.8888888888889	295.90277777777777	211.875	363.125	530.5555555555555	180.20833333333334	236.38888888888889	364.65277777777777	627.0833333333334	422.01388888888886	459.8611111111111	353.9583333333333	298.9583333333333	287.3611111111111	248.54166666666666	241.59722222222223	207.01388888888889	196.18055555555554	221.31944444444443	245.0	214.72222222222223	163.88888888888889	153.54166666666666	147.36111111111111	130.90277777777777	109.93055555555556	120.0	103.125	90.69444444444444	107.70833333333333	95.34722222222221	119.09722222222221	104.16666666666666	99.16666666666666	98.95833333333333	141.25	95.625	135.625	178.95833333333334	149.16666666666666	83.75	74.58333333333333	82.98611111111111	64.16666666666667	67.15277777777777	62.56944444444444	78.26388888888889	89.51388888888889	92.77777777777777	88.95833333333333	62.77777777777778	69.23611111111111	74.79166666666667	90.69444444444444	138.68055555555554	102.15277777777777	87.63888888888889	78.88888888888889	88.61111111111111	93.26388888888889	97.01388888888889	76.94444444444444	76.66666666666667	51.18055555555556	52.84722222222222	65.625	69.72222222222221	128.81944444444443	71.59722222222221	109.72222222222221	68.54166666666667	98.68055555555556	96.25	54.65277777777778	62.5	113.33333333333333	46.80555555555556	84.72222222222221	57.638888888888886	174.02777777777777	146.11111111111111	166.11111111111111	1569.6527777777778	75.27777777777777
LIVER_RNA_HET_1_S4_L001_2 - Adapter 1	0.9295727578453945	1.1143568879516588	1.7332248108992092	2.0520309259340714	3.7264557908519733	11.443712127107434	40.20002571372504	153.3874678576262	572.3094413165873	2378.445214378519	9167.157712305025	36854.72222222222	33370.76388888889	34133.47222222222	32423.958333333332	36179.86111111111	28350.833333333332	30681.180555555555	29917.638888888887	28619.722222222223	29203.819444444445	28705.138888888887	26231.319444444445	25471.666666666664	25090.625	22966.11111111111	22975.972222222223	23069.930555555555	21496.527777777777	19816.458333333332	20374.791666666668	19404.375	17669.583333333332	17208.472222222223	16193.958333333332	17167.777777777777	16446.319444444445	9486.180555555555	14144.652777777777	11143.611111111111	12074.861111111111	11171.180555555555	12338.194444444443	10326.25	8430.069444444443	9057.777777777777	7602.569444444444	7046.875	7709.652777777777	6482.013888888889	5722.777777777777	5105.555555555556	4754.444444444444	4453.055555555556	5646.180555555556	4406.458333333333	3079.5138888888887	3278.402777777778	3001.0416666666665	2391.527777777778	2646.4583333333335	2975.2083333333335	2588.8194444444443	1806.5277777777778	1998.1944444444443	1470.9722222222222	1303.888888888889	852.5	1016.1805555555555	1092.9166666666667	740.8333333333334	675.8333333333334	686.1805555555555	714.8611111111111	1269.7916666666667	650.9027777777777	937.7777777777777	364.7916666666667	359.375	1103.6805555555554	1129.375	319.02777777777777	287.15277777777777	260.06944444444446	386.04166666666663	368.26388888888886	495.625	580.1388888888889	285.69444444444446	214.09722222222223	166.45833333333334	207.5	193.19444444444443	541.4583333333334	200.48611111111111	1123.0555555555554	341.875	640.4861111111111	273.88888888888886	436.94444444444446	147.43055555555554	199.23611111111111	161.875	585.9027777777777	1484.0972222222222	115.48611111111111	308.81944444444446	122.63888888888889	185.55555555555554	294.72222222222223	116.31944444444444	115.625	115.41666666666666	424.72222222222223	722.0138888888889	138.47222222222223	455.55555555555554	348.81944444444446	197.15277777777777	209.30555555555554	141.94444444444443	135.13888888888889	135.90277777777777	835.2083333333333	435.97222222222223	1541.1805555555554	296.52777777777777	589.5833333333334	98.125	277.43055555555554	310.97222222222223	273.19444444444446	129.86111111111111	155.69444444444443	110.13888888888889	338.125	225.48611111111111	130.90277777777777	533.2638888888889	156.25	488.75	285.2083333333333	421.66666666666663	627.3611111111111	433.54166666666663	459.79166666666663	223.88888888888889	488.05555555555554	581.3888888888889	1796.875	22.708333333333332
LIVER_RNA_HET_2_S5_L001_1 - Adapter 1	0.9003082097279566	1.0758596407698304	1.666681724569447	2.3510889388948435	3.7823814192695706	11.808672635658079	42.65780778623761	163.4584111478236	607.3347891047006	2514.119540229885	9551.158088235294	40797.5	34369.85294117647	37200.367647058825	34110.14705882353	47237.64705882353	23846.029411764706	30672.279411764706	29253.45588235294	30880.073529411766	30762.941176470587	27478.161764705885	28353.014705882353	25237.867647058825	25809.117647058825	24109.33823529412	24705.88235294118	22102.5	23119.485294117647	19416.470588235294	20546.029411764706	19090.29411764706	17697.279411764706	18316.985294117647	17425.735294117647	12434.85294117647	13978.382352941177	12950.588235294117	12353.455882352942	12485.661764705883	11433.235294117647	11366.911764705883	9491.54411764706	9260.073529411766	8861.39705882353	8051.617647058823	11585.808823529413	1899.7794117647059	4985.735294117647	6110.073529411765	5619.852941176471	3381.470588235294	4635.367647058823	3980.8088235294117	3025.5882352941176	3103.0882352941176	4255.882352941177	2265.5882352941176	2576.323529411765	2245.9558823529414	2068.823529411765	982.1323529411765	724.4852941176471	2142.6470588235293	1204.1176470588236	798.0147058823529	763.1617647058823	1631.3235294117646	697.8676470588235	941.1029411764706	531.6911764705883	611.25	248.30882352941177	360.14705882352945	474.7794117647059	626.6911764705883	422.5735294117647	410.7352941176471	321.69117647058823	278.38235294117646	257.13235294117646	228.97058823529412	235.07352941176472	206.1764705882353	188.75	196.54411764705884	214.41176470588235	200.58823529411765	155.66176470588235	151.47058823529412	147.05882352941177	139.9264705882353	106.69117647058823	117.64705882352942	102.86764705882354	99.26470588235294	103.30882352941177	101.54411764705883	136.39705882352942	102.13235294117648	103.01470588235294	106.91176470588236	156.61764705882354	104.04411764705883	122.94117647058823	178.52941176470588	177.35294117647058	95.88235294117648	90.73529411764706	88.52941176470588	70.29411764705883	71.47058823529412	72.57352941176471	94.63235294117648	96.39705882352942	116.02941176470588	109.11764705882354	71.32352941176471	80.66176470588236	89.33823529411765	120.51470588235294	150.29411764705884	116.47058823529412	110.36764705882354	76.91176470588235	94.04411764705883	94.8529411764706	106.17647058823529	75.66176470588235	93.52941176470588	59.411764705882355	59.044117647058826	74.92647058823529	88.75	125.44117647058823	85.22058823529412	117.13235294117648	73.16176470588235	103.89705882352942	110.0	61.39705882352941	68.82352941176471	120.22058823529412	48.088235294117645	86.02941176470588	60.80882352941177	198.82352941176472	165.51470588235296	187.4264705882353	342.13235294117646	91.54411764705883
LIVER_RNA_HET_2_S5_L001_2 - Adapter 1	0.9198744055157029	1.1123189622415064	1.7101169465940147	2.1119668239796634	3.93043898304476	12.34167986524876	42.968898146817985	165.20270076138485	607.7002643374325	2544.174712643678	9696.158088235294	39583.60294117647	34975.367647058825	36758.23529411765	34263.529411764706	38788.67647058824	30169.63235294118	31724.33823529412	31558.676470588238	29883.676470588238	30445.735294117647	29896.83823529412	27237.426470588234	26363.602941176472	25966.102941176472	23683.970588235294	23617.5	23624.926470588234	21569.926470588234	20243.308823529413	20567.941176470587	19138.676470588234	20867.352941176472	14259.264705882353	16068.308823529413	16726.91176470588	11967.5	16233.529411764706	9422.79411764706	12131.617647058823	11172.720588235294	10768.823529411766	11538.235294117647	9817.279411764706	7560.808823529412	8396.39705882353	6986.911764705883	6393.161764705883	6892.794117647059	5861.985294117647	4978.455882352941	4648.161764705883	4147.867647058823	3916.544117647059	4929.338235294118	3603.8970588235297	2814.4852941176473	2878.014705882353	2899.044117647059	1825.5882352941178	2272.720588235294	2464.7058823529414	2185.9558823529414	1545.735294117647	1764.7794117647059	1248.8235294117646	1141.4705882352941	719.4117647058823	904.4852941176471	959.5588235294118	655.2941176470589	582.1323529411765	595.2205882352941	625.0	1123.5294117647059	575.5882352941177	803.9705882352941	340.6617647058824	352.05882352941177	997.2794117647059	937.7205882352941	298.45588235294116	292.3529411764706	251.39705882352942	352.4264705882353	305.22058823529414	444.9264705882353	531.8382352941177	271.69117647058823	202.94117647058823	165.73529411764707	210.22058823529412	184.33823529411765	465.5882352941177	196.47058823529412	972.9411764705883	357.4264705882353	634.7058823529412	268.38235294117646	413.30882352941177	138.8235294117647	191.76470588235296	165.14705882352942	485.29411764705884	1315.2205882352941	125.29411764705883	295.5147058823529	132.5	222.86764705882354	274.55882352941177	125.29411764705883	118.75	131.39705882352942	401.61764705882354	596.7647058823529	143.6764705882353	385.95588235294116	336.9852941176471	201.54411764705884	188.23529411764707	130.80882352941177	129.48529411764707	137.64705882352942	755.8823529411765	403.6764705882353	1358.75	313.8235294117647	587.1323529411765	109.48529411764706	241.1764705882353	290.95588235294116	251.39705882352942	131.25	148.38235294117646	117.57352941176471	315.7352941176471	215.29411764705884	137.94117647058823	512.2794117647059	161.02941176470588	450.80882352941177	246.02941176470588	378.30882352941177	542.7205882352941	427.79411764705884	422.05882352941177	227.57352941176472	427.05882352941177	506.25	491.9117647058824	29.411764705882355
LIVER_RNA_SMA_1_S1_L001_1 - Adapter 1	0.9022280916723994	1.075622292685682	1.6835811423262033	2.4779716137396526	4.094862346319039	13.183842750120478	47.86776398200853	185.2957059037333	696.3634475597092	2886.1196510178647	10941.644518272426	46962.933333333334	39723.066666666666	42892.8	39068.333333333336	50283.26666666667	30937.666666666668	35742.066666666666	33529.933333333334	35485.4	35713.86666666667	31852.8	33014.0	29283.133333333335	29882.6	27839.133333333335	27996.866666666665	25953.333333333332	26726.866666666665	22115.666666666668	24873.4	21312.133333333335	21282.6	19805.066666666666	17940.333333333332	17021.6	15742.466666666667	17659.4	13451.8	11842.0	12974.6	13351.666666666666	10739.8	10031.8	9830.666666666666	9989.6	12654.466666666667	2574.733333333333	5636.6	6722.2	5718.333333333333	4368.266666666666	5154.933333333333	4397.4	3567.4	3541.0	4308.733333333334	2489.733333333333	2825.866666666667	2510.0	2430.733333333333	1268.6	932.0	2284.733333333333	1403.8	950.1333333333333	860.8666666666667	1751.8666666666666	849.3333333333334	1092.6	595.2666666666667	612.4666666666667	256.6	386.26666666666665	518.3333333333334	686.0	463.8	450.6	351.06666666666666	288.2	259.53333333333336	240.4	244.13333333333333	205.26666666666668	192.93333333333334	221.33333333333334	226.93333333333334	214.93333333333334	163.13333333333333	148.66666666666666	148.86666666666667	126.73333333333333	120.73333333333333	117.2	97.86666666666666	95.73333333333333	108.2	98.4	122.66666666666667	103.53333333333333	88.13333333333334	94.33333333333333	155.4	95.66666666666667	132.8	182.66666666666666	172.53333333333333	88.13333333333334	89.6	83.4	69.73333333333333	74.0	62.86666666666667	84.53333333333333	93.13333333333334	91.53333333333333	96.93333333333334	63.0	72.73333333333333	81.4	103.46666666666667	134.2	114.73333333333333	106.06666666666666	74.8	100.46666666666667	93.4	110.46666666666667	74.4	82.06666666666666	53.8	61.53333333333333	60.86666666666667	73.26666666666667	130.86666666666667	79.8	116.46666666666667	68.26666666666667	101.33333333333333	96.26666666666667	55.733333333333334	65.53333333333333	127.26666666666667	53.266666666666666	82.2	53.53333333333333	168.86666666666667	154.2	167.93333333333334	471.2	73.06666666666666
LIVER_RNA_SMA_1_S1_L001_2 - Adapter 1	0.9277740290598568	1.1020113033843988	1.7450999352377716	2.162302906714604	4.242109678351044	13.469924208128276	48.17956423253912	186.01303286775013	691.6978193146417	2890.070627336934	11078.803986710964	45288.73333333333	40617.53333333333	42081.333333333336	39168.333333333336	43859.4	34919.26666666667	36572.13333333333	36161.73333333333	34279.066666666666	35101.066666666666	34679.4	31496.466666666667	30369.466666666667	29927.266666666666	27242.2	27119.733333333334	27105.0	24834.466666666667	23267.333333333332	23657.333333333332	22304.266666666666	21224.533333333333	18982.933333333334	18171.6	17258.933333333334	15666.666666666666	14410.866666666667	14180.333333333334	13576.8	12985.2	12273.0	12250.8	10474.533333333333	9181.4	9268.066666666668	7826.466666666666	7525.466666666666	7307.533333333334	6374.4	5760.8	4998.266666666666	4651.466666666666	4315.533333333334	5277.733333333334	4111.6	2987.8	3108.8	3136.266666666667	2017.6666666666667	2426.266666666667	2653.0	2224.733333333333	1657.5333333333333	1852.3333333333333	1296.8	1212.2	806.4	932.4	972.1333333333333	701.2	621.5333333333333	650.5333333333333	652.3333333333334	1135.0666666666666	589.6	770.8666666666667	327.0	344.26666666666665	942.6	964.1333333333333	293.6	273.8	251.73333333333332	345.1333333333333	332.06666666666666	425.26666666666665	524.2666666666667	276.53333333333336	196.46666666666667	159.6	193.06666666666666	167.13333333333333	438.73333333333335	182.6	923.1333333333333	335.0	644.8	247.53333333333333	371.8666666666667	142.8	181.53333333333333	170.93333333333334	467.6	1328.1333333333334	112.26666666666667	263.1333333333333	115.73333333333333	177.8	265.3333333333333	127.66666666666667	112.73333333333333	117.0	427.6666666666667	604.1333333333333	128.66666666666666	405.0	320.2	207.4	208.26666666666668	119.6	119.73333333333333	134.33333333333334	742.0	390.0	1334.4666666666667	335.2	577.8666666666667	96.2	236.26666666666668	320.6666666666667	261.6	128.33333333333334	140.53333333333333	101.33333333333333	308.1333333333333	228.06666666666666	130.26666666666668	615.0666666666667	169.0	489.8666666666667	245.8	400.1333333333333	590.6	433.8666666666667	449.53333333333336	230.93333333333334	417.46666666666664	580.3333333333334	665.4	24.0
LIVER_RNA_SMA_2_S2_L001_1 - Adapter 1	0.8950993753831227	1.074003950597061	1.6519303248423924	2.408084354081357	3.878213039207232	12.394024702127238	44.444814515233695	172.73996066738565	643.3942393097323	2695.8781725888325	10153.569979716025	43337.80487804878	36616.91056910569	39459.83739837398	35836.829268292684	46120.487804878045	28937.886178861787	32494.065040650406	31013.41463414634	32732.682926829268	32683.089430894306	29427.64227642276	30310.81300813008	27150.325203252032	27628.21138211382	25738.130081300813	25292.764227642274	24747.073170731706	24748.861788617884	20663.252032520322	22620.325203252032	20277.72357723577	19352.601626016258	18975.12195121951	17261.951219512193	15197.154471544714	15282.926829268292	14292.845528455284	13053.0081300813	13224.065040650406	14906.260162601626	8863.90243902439	10783.41463414634	11032.60162601626	11630.487804878048	6189.430894308943	13633.82113821138	1245.8536585365853	6081.951219512195	11152.357723577235	5150.650406504064	2744.5528455284552	5682.032520325203	4341.788617886179	2487.2357723577234	4083.252032520325	6766.666666666666	1615.9349593495933	2476.260162601626	1270.2439024390244	1880.4878048780486	503.0894308943089	425.7723577235772	2255.528455284553	892.8455284552845	379.0243902439024	673.170731707317	1527.560975609756	418.4552845528455	688.5365853658536	570.0	623.9837398373984	190.3252032520325	304.9593495934959	482.0325203252032	629.5934959349593	436.0162601626016	437.7235772357723	358.86178861788613	297.0731707317073	272.7642276422764	260.2439024390244	246.74796747967477	209.43089430894307	202.03252032520325	220.24390243902437	223.65853658536585	202.520325203252	175.77235772357722	161.1382113821138	160.73170731707316	135.77235772357722	114.71544715447153	126.82926829268293	105.52845528455283	101.78861788617886	110.08130081300813	106.42276422764228	127.3170731707317	107.72357723577235	103.65853658536585	107.15447154471543	144.14634146341461	96.17886178861788	138.9430894308943	164.22764227642276	165.52845528455285	95.4471544715447	92.35772357723577	90.0	75.36585365853658	71.78861788617886	69.51219512195121	102.03252032520325	91.3821138211382	102.1951219512195	104.47154471544715	78.9430894308943	83.0081300813008	89.83739837398373	109.10569105691056	134.71544715447155	112.68292682926828	109.43089430894308	76.42276422764228	94.14634146341463	95.52845528455283	105.12195121951218	84.0650406504065	94.95934959349593	60.8130081300813	63.65853658536585	75.85365853658536	78.86178861788618	118.61788617886178	83.41463414634146	114.8780487804878	73.57723577235772	99.7560975609756	115.12195121951218	53.41463414634146	68.3739837398374	134.3089430894309	52.76422764227642	97.80487804878048	54.796747967479675	181.78861788617886	157.0731707317073	177.6422764227642	588.6178861788618	70.89430894308943
LIVER_RNA_SMA_2_S2_L001_2 - Adapter 1	0.9199516865464181	1.1078652486265732	1.7356516711728123	2.12103335682615	4.05736807098201	12.574215419995639	44.86320597611457	173.24430628687432	641.7814998096688	2694.0456852791876	10236.85598377282	41735.44715447154	37539.26829268292	38714.471544715445	36194.06504065041	40796.91056910569	31552.764227642274	33922.113821138206	33117.64227642276	31730.894308943087	32359.0243902439	31901.788617886177	29182.682926829268	28222.43902439024	27666.666666666664	25233.983739837397	25190.325203252032	25294.30894308943	23270.081300813006	21546.504065040648	22251.056910569103	21093.82113821138	18649.349593495936	18776.991869918696	18245.365853658535	17682.52032520325	12227.560975609755	14342.764227642276	15864.959349593495	11699.837398373984	11379.268292682926	11017.723577235773	12431.70731707317	9978.536585365853	8923.333333333332	9132.520325203252	7559.837398373983	7266.585365853658	7483.414634146341	6228.943089430894	5767.3983739837395	4855.365853658536	4623.170731707317	4246.260162601626	5499.593495934959	4113.414634146341	3040.487804878049	3127.479674796748	3139.2682926829266	2017.1544715447153	2418.048780487805	2741.382113821138	2408.048780487805	1661.5447154471544	1875.3658536585365	1374.7967479674796	1235.4471544715445	815.2032520325203	949.8373983739837	1024.3089430894308	713.9837398373984	618.130081300813	640.3252032520325	689.5934959349593	1198.130081300813	627.1544715447154	844.390243902439	357.3170731707317	368.780487804878	994.7154471544715	1056.0162601626016	329.5121951219512	299.10569105691053	268.780487804878	385.8536585365853	350.0	466.260162601626	570.8943089430894	305.5284552845528	218.86178861788616	164.55284552845526	206.5040650406504	198.53658536585365	487.7235772357723	195.04065040650406	993.4959349593495	356.9918699186992	665.1219512195122	260.2439024390244	426.42276422764223	156.17886178861787	199.10569105691056	182.520325203252	544.7967479674796	1430.650406504065	130.0	292.8455284552845	135.1219512195122	193.49593495934957	314.1463414634146	137.80487804878047	127.56097560975608	132.6829268292683	456.66666666666663	705.8536585365853	153.65853658536585	441.7886178861788	364.1463414634146	211.78861788617886	212.4390243902439	139.02439024390242	138.86178861788616	131.3821138211382	836.0162601626016	419.67479674796743	1534.2276422764228	309.5121951219512	601.30081300813	104.79674796747967	267.7235772357723	338.3739837398374	275.7723577235772	143.0081300813008	165.6910569105691	121.13821138211381	321.1382113821138	247.56097560975607	142.4390243902439	624.9593495934959	186.42276422764226	530.3252032520325	278.29268292682923	444.6341463414634	635.4471544715446	478.61788617886174	494.7154471544715	238.130081300813	501.4634146341463	610.7317073170732	794.8780487804878	27.642276422764226
P7_LIVER_RNA_HET_3_S6_L001_1 - Adapter 1	0.8987605256956105	1.0761728609834076	1.6488351140280337	2.197178707910932	3.8560387455423624	12.219222679116914	43.15749554888513	167.25517418691348	625.6705059646237	2600.9584533113944	9829.078947368422	42004.80263157895	35186.90789473685	37859.53947368421	34383.61842105263	45031.31578947369	27356.184210526317	30818.618421052633	29752.17105263158	31366.118421052633	31209.67105263158	27843.289473684214	29124.67105263158	25863.157894736843	26171.644736842107	24759.80263157895	24933.157894736843	22465.986842105263	23658.026315789473	20063.88157894737	20930.855263157897	19470.0	18350.394736842107	19009.21052631579	15088.684210526317	15382.368421052632	14359.736842105263	13885.92105263158	12532.105263157895	12131.973684210527	11916.842105263158	11949.407894736843	9657.565789473685	9936.644736842105	10753.42105263158	6794.473684210527	12829.802631578948	1368.8815789473686	5442.105263157895	6965.592105263158	5397.236842105263	3802.8289473684213	4892.105263157895	4209.736842105263	3334.1447368421054	3486.25	4822.6973684210525	2291.315789473684	2925.855263157895	2342.434210526316	2145.921052631579	1043.4868421052631	753.9473684210527	2333.2236842105262	1333.2236842105265	790.921052631579	752.828947368421	1729.342105263158	694.2763157894738	996.7763157894738	564.5394736842105	535.5263157894738	217.89473684210526	345.7894736842105	479.8684210526316	563.2894736842105	438.8157894736842	428.22368421052636	356.0526315789474	302.10526315789474	287.69736842105266	255.3947368421053	250.46052631578948	212.82894736842107	204.01315789473685	224.01315789473685	221.84210526315792	209.34210526315792	181.7763157894737	173.0263157894737	151.8421052631579	134.47368421052633	122.89473684210527	136.71052631578948	114.27631578947368	115.92105263157896	131.64473684210526	118.42105263157896	142.89473684210526	106.51315789473685	113.6842105263158	117.03947368421053	155.85526315789474	118.35526315789474	144.3421052631579	159.21052631578948	185.92105263157896	108.61842105263159	89.47368421052632	100.85526315789474	88.42105263157895	83.88157894736842	78.28947368421053	136.8421052631579	110.32894736842105	128.6842105263158	134.67105263157896	91.57894736842105	95.72368421052632	90.78947368421053	142.69736842105263	170.19736842105263	118.81578947368422	117.89473684210527	78.94736842105263	97.03947368421053	90.72368421052632	107.76315789473685	93.88157894736842	93.6842105263158	70.39473684210526	66.11842105263158	88.02631578947368	98.88157894736842	127.5	91.64473684210527	117.63157894736842	82.56578947368422	115.85526315789474	145.26315789473685	64.3421052631579	84.27631578947368	130.72368421052633	46.776315789473685	105.46052631578948	65.5921052631579	201.64473684210526	182.10526315789474	219.47368421052633	1199.4736842105265	93.42105263157895
P7_LIVER_RNA_HET_3_S6_L001_2 - Adapter 1	0.9185209528117602	1.1200871390963099	1.698980643801906	2.1181253238277247	4.01431425395508	12.540409469771838	43.42976879913099	166.98804473582723	628.906828465652	2590.370218017277	9872.763157894737	40872.56578947369	35632.36842105263	37138.22368421053	34339.210526315794	38465.131578947374	31129.539473684214	31722.828947368424	32193.157894736843	30155.197368421053	30940.723684210527	30075.13157894737	27763.55263157895	26895.13157894737	26209.605263157897	24146.184210526317	23850.855263157897	23846.644736842107	21980.197368421053	20479.868421052633	21031.578947368424	19478.157894736843	17990.13157894737	17951.907894736843	17217.894736842107	14357.565789473685	14276.973684210527	13632.236842105263	13179.67105263158	12100.526315789475	12258.355263157895	10953.486842105263	11500.526315789475	9645.789473684212	8442.368421052632	8616.315789473685	7236.71052631579	7012.96052631579	6944.144736842106	6078.486842105263	5456.973684210527	4828.684210526316	4561.644736842106	4220.789473684211	4892.894736842106	3912.8289473684213	2938.684210526316	3019.671052631579	3045.855263157895	2068.092105263158	2353.815789473684	2551.7763157894738	2230.263157894737	1626.9736842105265	1884.2105263157896	1305.1315789473686	1222.171052631579	843.6184210526317	957.5	988.1578947368422	741.6447368421053	656.4473684210527	666.7763157894738	677.828947368421	1113.5526315789475	610.2631578947369	783.3552631578948	351.25	414.2105263157895	890.0	918.8157894736843	333.35526315789474	307.5657894736842	283.35526315789474	364.0131578947369	343.22368421052636	432.5	489.8026315789474	274.9342105263158	235.26315789473685	180.26315789473685	215.6578947368421	206.7763157894737	487.5	193.48684210526318	765.0	335.32894736842104	555.6578947368421	258.15789473684214	352.2368421052632	152.4342105263158	184.47368421052633	182.23684210526318	469.67105263157896	1141.578947368421	137.3684210526316	298.6184210526316	138.48684210526315	222.69736842105263	268.75	143.94736842105263	138.28947368421052	135.46052631578948	385.5263157894737	520.921052631579	166.1842105263158	350.32894736842104	266.25	200.26315789473685	188.88157894736844	143.28947368421052	135.6578947368421	138.6184210526316	646.7105263157895	362.5	1072.4342105263158	262.17105263157896	484.60526315789474	112.5	260.32894736842104	278.4868421052632	232.63157894736844	150.13157894736844	160.85526315789474	124.67105263157896	285.0	214.53947368421055	137.4342105263158	494.40789473684214	175.46052631578948	396.3157894736842	233.42105263157896	357.4342105263158	448.2894736842105	376.25	371.97368421052636	208.6184210526316	387.4342105263158	505.92105263157896	1345.5263157894738	29.407894736842106
