Sample	Unique Reads	Duplicate Reads
LIVER_RNA_HET_1_S4_L001_1	41765373.0	200181876.0
LIVER_RNA_HET_1_S4_L001_2	45215927.0	196731322.0
LIVER_RNA_HET_2_S5_L001_1	44764774.0	183193364.0
LIVER_RNA_HET_2_S5_L001_2	51768704.0	176189434.0
LIVER_RNA_SMA_1_S1_L001_1	41121943.0	211147656.0
LIVER_RNA_SMA_1_S1_L001_2	48140610.0	204128989.0
LIVER_RNA_SMA_2_S2_L001_1	41916102.0	164551658.0
LIVER_RNA_SMA_2_S2_L001_2	48339222.0	158128538.0
P7_LIVER_RNA_HET_3_S6_L001_1	57161034.0	197565393.0
P7_LIVER_RNA_HET_3_S6_L001_2	66821986.0	187904441.0
P7_LIVER_RNA_SMA_3_S3_L001_1	49511115.0	158336708.0
P7_LIVER_RNA_SMA_3_S3_L001_2	55536878.0	152310945.0
