Sample	Unique Reads	Duplicate Reads
LIVER_RNA_HET_1_S4_L001_1	41732843.0	200390737.0
LIVER_RNA_HET_1_S4_L001_2	45223334.0	196900246.0
LIVER_RNA_HET_2_S5_L001_1	44743300.0	183353978.0
LIVER_RNA_HET_2_S5_L001_2	51752125.0	176345153.0
LIVER_RNA_SMA_1_S1_L001_1	41133767.0	211299796.0
LIVER_RNA_SMA_1_S1_L001_2	48141972.0	204291591.0
LIVER_RNA_SMA_2_S2_L001_1	41922207.0	164683930.0
LIVER_RNA_SMA_2_S2_L001_2	48350028.0	158256109.0
P7_LIVER_RNA_HET_3_S6_L001_1	57164792.0	197736176.0
P7_LIVER_RNA_HET_3_S6_L001_2	66815049.0	188085919.0
P7_LIVER_RNA_SMA_3_S3_L001_1	49489835.0	158494923.0
P7_LIVER_RNA_SMA_3_S3_L001_2	55505922.0	152478836.0
