Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
LIVER_RNA_HET_1_S4_L001_1	3.4	242123580	96858152	242123580	36560660580	38031866	36021051732	1.4759275118108384
LIVER_RNA_HET_1_S4_L001_2	3.4	242123580	98650769	242123580	36560660580	47973206	35963260711	1.6339963762219312
LIVER_RNA_HET_2_S5_L001_1	3.4	228097278	90662597	228097278	34442688978	29025409	33940900976	1.4568781267935067
LIVER_RNA_HET_2_S5_L001_2	3.4	228097278	92683859	228097278	34442688978	49849298	33884538613	1.620519133556948
LIVER_RNA_SMA_1_S1_L001_1	3.4	252433563	103083911	252433563	38117468013	28205271	37510995779	1.5910611738249825
LIVER_RNA_SMA_1_S1_L001_2	3.4	252433563	105414177	252433563	38117468013	55777371	37447311415	1.7581351357635884
LIVER_RNA_SMA_2_S2_L001_1	3.4	206606137	82740082	206606137	31197526687	24759939	30722618400	1.5222626196130289
LIVER_RNA_SMA_2_S2_L001_2	3.4	206606137	84906427	206606137	31197526687	47624768	30662688730	1.7143601233711478
P7_LIVER_RNA_HET_3_S6_L001_1	3.4	254900968	101479424	254900968	38490046168	32278229	37914938483	1.4941724997932977
P7_LIVER_RNA_HET_3_S6_L001_2	3.4	254900968	103929986	254900968	38490046168	67705637	37844656213	1.6767710596735184
P7_LIVER_RNA_SMA_3_S3_L001_1	3.4	207984758	83230874	207984758	31405698458	29578925	30925427752	1.5292470143349424
P7_LIVER_RNA_SMA_3_S3_L001_2	3.4	207984758	85429851	207984758	31405698458	51484176	30871001060	1.702548977584659
