Sample	Biotype Counts_mqc-generalstats-biotype_counts-percent_rRNA	DupRadar_mqc-generalstats-dupradar-dupRadar_intercept	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION	QualiMap_mqc-generalstats-qualimap-5_3_bias	QualiMap_mqc-generalstats-qualimap-reads_aligned	RSeQC_mqc-generalstats-rseqc-proper_pairs_percent	Samtools_mqc-generalstats-samtools-error_rate	Samtools_mqc-generalstats-samtools-non_primary_alignments	Samtools_mqc-generalstats-samtools-reads_mapped	Samtools_mqc-generalstats-samtools-reads_mapped_percent	Samtools_mqc-generalstats-samtools-reads_properly_paired_percent	Samtools_mqc-generalstats-samtools-reads_MQ0_percent	Samtools_mqc-generalstats-samtools-raw_total_sequences	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	Samtools_mqc-generalstats-samtools-mapped_passed_pct	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_duplicates	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_gc	FastQC (raw)_mqc-generalstats-fastqc_raw-avg_sequence_length	FastQC (raw)_mqc-generalstats-fastqc_raw-median_sequence_length	FastQC (raw)_mqc-generalstats-fastqc_raw-percent_fails	FastQC (raw)_mqc-generalstats-fastqc_raw-total_sequences	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_duplicates	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_gc	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-avg_sequence_length	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-median_sequence_length	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-percent_fails	FastQC (trimmed)_mqc-generalstats-fastqc_trimmed-total_sequences
LIVER_RNA_HET_1_S4_L001	0.06471854577423661	0.339984736896715	0.639437	0.91	227905583.0	31.7154204893648	0.002058275	47158237.0	455887958.0	100.0	99.98315551032826	0.4726141505145876	455887958.0	503046195	503046195	100.0	88.11	213176502.0													
LIVER_RNA_HET_1_S4_L001_1																			82.76382556812601	48.0	151.0	151	18.181818181818183	242123580.0	1.4759275118108384	82.73781880796106	47.0	148.86442094656758	151	18.181818181818183	241947249.0
LIVER_RNA_HET_1_S4_L001_2																			81.32221003416772	48.0	151.0	151	18.181818181818183	242123580.0	1.6339963762219312	81.31165900055181	48.0	148.68497854670792	151	18.181818181818183	241947249.0
LIVER_RNA_HET_2_S5_L001	0.1066142886830889	0.348172643901179	0.611666	0.89	212756528.0	34.54870396887778	0.001831102	39737301.0	425595043.0	100.0	99.98073591284755	0.43488664410971534	425595043.0	465332344	465332344	100.0	87.88	200336789.0													
LIVER_RNA_HET_2_S5_L001_1																			80.38411504386633	47.0	151.0	151	18.181818181818183	228097278.0	1.4568781267935067	80.36272210765594	47.0	148.88253906074632	151	18.181818181818183	227958138.0
LIVER_RNA_HET_2_S5_L001_2																			77.31138002382706	48.0	151.0	151	18.181818181818183	228097278.0	1.620519133556948	77.29025849565946	48.0	148.68472163516267	151	18.181818181818183	227958138.0
LIVER_RNA_SMA_1_S1_L001	0.07682503046742403	0.375881059820984	0.64353	0.92	233804180.0	31.32357086980638	0.001703175	48492327.0	467695756.0	100.0	99.98131349303927	0.4824591566317313	467695756.0	516188083	516188083	100.0	86.83	219037281.0													
LIVER_RNA_SMA_1_S1_L001_1																			83.70511181982098	48.0	151.0	151	18.181818181818183	252433563.0	1.5910611738249825	83.69920800540606	48.0	148.68073164852495	151	18.181818181818183	252269599.0
LIVER_RNA_SMA_1_S1_L001_2																			80.928854674902	49.0	151.0	151	18.181818181818183	252433563.0	1.7581351357635884	80.9169992852226	49.0	148.48608658548667	151	18.181818181818183	252269599.0
LIVER_RNA_SMA_2_S2_L001	0.05091372401440578	0.32070829207378	0.594153	0.9	191813230.0	35.84061518741077	0.001750915	38320359.0	383701281.0	100.0	99.98050019541112	0.43390811614204644	383701281.0	422021640	422021640	100.0	87.15	179929157.0													
