task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	a3/868be0	10506225	NFCORE_RNASEQ:RNASEQ:INPUT_CHECK:SAMPLESHEET_CHECK (samplesheet.csv)	COMPLETED	0	2023-08-26 16:22:42.117	3m 14s	0ms	38.5%	1.8 MB	10.7 MB	1.5 MB	1.7 KB
2	84/a89d33	10506224	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF2BED (gencode.vM33.basic.annotation.gtf)	COMPLETED	0	2023-08-26 16:22:39.589	3m 31s	16s	97.0%	1 GB	1 GB	614.9 MB	10.5 MB
5	b6/e30fb5	10506227	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES (GRCm39.primary_assembly.genome.fa)	COMPLETED	0	2023-08-26 16:22:47.142	3m 24s	15s	81.4%	2.8 MB	11.9 MB	2.6 GB	7.9 KB
4	ed/425990	10506226	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:GTF_GENE_FILTER (GRCm39.primary_assembly.genome.fa)	COMPLETED	0	2023-08-26 16:22:44.556	3m 31s	18s	77.2%	644.2 MB	659.8 MB	3.2 GB	614.7 MB
18	17/8fc48d	10506266	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:MAKE_TRANSCRIPTS_FASTA (rsem/GRCm39.primary_assembly.genome.fa)	COMPLETED	0	2023-08-26 16:26:16.583	7m 55s	53s	86.8%	778.4 MB	1.1 GB	3.5 GB	1 GB
3	5a/83f04f	10506228	NFCORE_RNASEQ:RNASEQ:PREPARE_GENOME:STAR_GENOMEGENERATE (GRCm39.primary_assembly.genome.fa)	COMPLETED	0	2023-08-26 16:22:49.381	27m 34s	24m 24s	617.4%	65.4 GB	83 GB	48.5 GB	64.4 GB
13	71/258d67	10506252	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (LIVER_RNA_SMA_2_S2_L001)	COMPLETED	0	2023-08-26 16:26:01.547	39m 57s	36m 27s	197.4%	1.5 GB	4.3 GB	28.6 GB	4.3 MB
17	99/f6f0fd	10506260	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (P7_LIVER_RNA_SMA_3_S3_L001)	COMPLETED	0	2023-08-26 16:26:09.186	40m 6s	36m 45s	197.8%	1.5 GB	4.3 GB	29.2 GB	4.3 MB
9	2b/aa553f	10506254	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (LIVER_RNA_HET_2_S5_L001)	COMPLETED	0	2023-08-26 16:26:03.765	43m 52s	40m 18s	196.2%	1.5 GB	4.3 GB	32.1 GB	4.4 MB
6	2d/240319	10506250	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (LIVER_RNA_HET_1_S4_L001)	COMPLETED	0	2023-08-26 16:25:58.959	46m 32s	42m 58s	198.5%	1.4 GB	4.2 GB	34.9 GB	4.4 MB
15	cd/8e26e8	10506258	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (P7_LIVER_RNA_HET_3_S6_L001)	COMPLETED	0	2023-08-26 16:26:06.708	47m 45s	44m 11s	197.3%	1.5 GB	4.3 GB	35.1 GB	4.3 MB
11	9c/e20de8	10506251	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (LIVER_RNA_SMA_1_S1_L001)	COMPLETED	0	2023-08-26 16:26:01.281	49m 14s	45m 44s	198.7%	1.4 GB	4.3 GB	34.8 GB	4.4 MB
16	dd/7f08fc	10506261	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (P7_LIVER_RNA_SMA_3_S3_L001)	COMPLETED	0	2023-08-26 16:26:11.300	2h 11m 55s	2h 5m 10s	650.6%	6.2 GB	7.5 GB	940.4 GB	911.1 GB
12	3c/d3dcbb	10506253	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (LIVER_RNA_SMA_2_S2_L001)	COMPLETED	0	2023-08-26 16:26:01.655	2h 14m 45s	2h 11m 5s	602.9%	6.3 GB	7.5 GB	932.6 GB	903.9 GB
8	56/7d3d36	10506257	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (LIVER_RNA_HET_2_S5_L001)	COMPLETED	0	2023-08-26 16:26:06.601	2h 33m 23s	2h 30m 1s	589.4%	6.3 GB	7.6 GB	1 TB	999.6 GB
7	62/6cea33	10506259	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (LIVER_RNA_HET_1_S4_L001)	COMPLETED	0	2023-08-26 16:26:08.986	2h 40m 12s	2h 35m 3s	607.3%	6.3 GB	7.6 GB	1.1 TB	1 TB
10	11/4be89f	10506255	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (LIVER_RNA_SMA_1_S1_L001)	COMPLETED	0	2023-08-26 16:26:04.129	2h 45m 23s	2h 41m 52s	599.0%	6.3 GB	7.6 GB	1.1 TB	1.1 TB
14	a1/9547fb	10506256	NFCORE_RNASEQ:RNASEQ:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (P7_LIVER_RNA_HET_3_S6_L001)	COMPLETED	0	2023-08-26 16:26:06.448	2h 45m 55s	2h 42m 20s	608.5%	6.3 GB	7.5 GB	1.1 TB	1.1 TB
19	ed/f9d042	10508762	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN (P7_LIVER_RNA_SMA_3_S3_L001)	COMPLETED	0	2023-08-26 18:38:09.123	2h 7m 58s	2h 6m 46s	1085.0%	32.5 GB	35.2 GB	311.5 GB	63.2 GB
26	6d/3c742c	10511973	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_QUANT (P7_LIVER_RNA_SMA_3_S3_L001)	COMPLETED	0	2023-08-26 20:46:14.562	7m 11s	7m 2s	519.7%	4.7 GB	6.4 GB	25.4 GB	6.8 MB
20	43/34958e	10508899	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN (LIVER_RNA_SMA_2_S2_L001)	COMPLETED	0	2023-08-26 18:40:53.956	2h 20m 16s	2h 20m	1066.5%	32.6 GB	35.3 GB	309.6 GB	66.6 GB
28	e8/bbae51	10512346	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_QUANT (LIVER_RNA_SMA_2_S2_L001)	COMPLETED	0	2023-08-26 21:01:27.287	10m 40s	10m 29s	505.0%	5.4 GB	7.2 GB	28.7 GB	6.8 MB
21	68/63f3a9	10509927	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN (LIVER_RNA_HET_2_S5_L001)	COMPLETED	0	2023-08-26 18:59:33.859	2h 38m 43s	2h 38m 37s	1089.2%	32.5 GB	35.2 GB	339.4 GB	74.9 GB
30	c3/4f987d	10512793	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_QUANT (LIVER_RNA_HET_2_S5_L001)	COMPLETED	0	2023-08-26 21:38:24.316	11m 26s	9m 2s	535.4%	5.5 GB	7.2 GB	32.1 GB	6.8 MB
24	5d/c1e1cb	10510599	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN (P7_LIVER_RNA_HET_3_S6_L001)	COMPLETED	0	2023-08-26 19:12:07.750	2h 50m 23s	2h 50m 8s	1087.5%	32.6 GB	35.3 GB	376 GB	75.8 GB
31	86/d3f9c1	10513107	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_QUANT (P7_LIVER_RNA_HET_3_S6_L001)	COMPLETED	0	2023-08-26 22:02:44.640	8m 49s	8m 37s	515.7%	4.7 GB	6.4 GB	29.8 GB	6.8 MB
23	56/26e9a0	10510593	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN (LIVER_RNA_SMA_1_S1_L001)	COMPLETED	0	2023-08-26 19:11:31.234	3h 29m 27s	3h 29m	1031.1%	32.7 GB	35.5 GB	372.4 GB	83.6 GB
34	45/ce1ef1	10513469	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_QUANT (LIVER_RNA_SMA_1_S1_L001)	COMPLETED	0	2023-08-26 22:41:27.941	10m 59s	10m 48s	533.2%	5.5 GB	7.2 GB	37.4 GB	6.8 MB
22	04/01c37b	10510505	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:STAR_ALIGN (LIVER_RNA_HET_1_S4_L001)	COMPLETED	0	2023-08-26 19:06:22.855	3h 54m 44s	3h 54m 28s	1021.6%	32.5 GB	35.2 GB	358.6 GB	86.5 GB
36	65/03fb31	10513744	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_QUANT (LIVER_RNA_HET_1_S4_L001)	COMPLETED	0	2023-08-26 23:01:20.058	10m 59s	10m 49s	533.3%	5.4 GB	7.2 GB	38.8 GB	6.8 MB
37	f9/de024c	10513888	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_TX2GENE (gencode.vM33.basic.annotation.gtf)	COMPLETED	0	2023-08-26 23:12:24.165	56.9s	39s	82.9%	4.1 GB	4.1 GB	616.5 MB	4 MB
38	bd/c7a8e5	10513913	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_TXIMPORT	COMPLETED	0	2023-08-26 23:13:22.428	1m 17s	1m 4s	59.9%	775.8 MB	1.5 GB	97.8 MB	33 MB
42	3c/1451ff	10513923	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_SE_GENE (salmon_tx2gene.tsv)	COMPLETED	0	2023-08-26 23:14:46.422	23.1s	19s	78.1%	446.4 MB	1.2 GB	58.6 MB	2.6 MB
40	39/39276d	10513924	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_SE_GENE_SCALED (salmon_tx2gene.tsv)	COMPLETED	0	2023-08-26 23:14:47.281	25s	19s	79.7%	458.6 MB	1.2 GB	60.5 MB	3.4 MB
41	15/753076	10513925	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_SE_TRANSCRIPT (salmon_tx2gene.tsv)	COMPLETED	0	2023-08-26 23:14:48.072	27.4s	22s	78.2%	440.3 MB	1.2 GB	64.1 MB	4.8 MB
43	24/4ca3ae	10513926	NFCORE_RNASEQ:RNASEQ:QUANTIFY_STAR_SALMON:SALMON_SE_GENE_LENGTH_SCALED (salmon_tx2gene.tsv)	COMPLETED	0	2023-08-26 23:14:48.478	27.6s	21s	61.2%	410.7 MB	1.2 GB	60.5 MB	3.4 MB
39	d2/7d7a83	10513927	NFCORE_RNASEQ:RNASEQ:DESEQ2_QC_STAR_SALMON	COMPLETED	0	2023-08-26 23:14:48.878	48.6s	39s	67.2%	657.8 MB	1.6 GB	81.6 MB	3.7 MB
25	b6/d7e632	10511972	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (P7_LIVER_RNA_SMA_3_S3_L001)	COMPLETED	0	2023-08-26 20:46:13.821	6h 17m 32s	6h 17m 21s	37.6%	5 GB	7.7 GB	74.4 GB	50.7 GB
44	41/d19f26	10517798	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (P7_LIVER_RNA_SMA_3_S3_L001)	COMPLETED	0	2023-08-27 03:03:46.682	3m 33s	3m 27s	143.2%	84.7 MB	240.4 MB	14.7 GB	6.6 MB
27	4b/59ed08	10512347	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (LIVER_RNA_SMA_2_S2_L001)	COMPLETED	0	2023-08-26 21:01:27.832	6h 11m 18s	6h 11m 7s	38.5%	5.1 GB	7.7 GB	72.7 GB	48.5 GB
46	82/d55db7	10517858	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (LIVER_RNA_SMA_2_S2_L001)	COMPLETED	0	2023-08-27 03:12:47.906	3m 28s	3m 21s	145.2%	90.8 MB	244.8 MB	14.3 GB	6.7 MB
29	6f/4693a4	10512794	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (LIVER_RNA_HET_2_S5_L001)	COMPLETED	0	2023-08-26 21:38:24.737	6h 44m 25s	6h 42m 5s	39.2%	5.1 GB	7.7 GB	81.1 GB	53.8 GB
48	9c/bad4da	10518268	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (LIVER_RNA_HET_2_S5_L001)	COMPLETED	0	2023-08-27 04:22:54.049	8m 7s	4m 25s	123.2%	85 MB	244.8 MB	16.2 GB	6.9 MB
32	bc/3933b3	10513106	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (P7_LIVER_RNA_HET_3_S6_L001)	COMPLETED	0	2023-08-26 22:02:43.918	6h 39m 27s	6h 39m 16s	39.1%	5.1 GB	7.7 GB	86.2 GB	56.9 GB
50	85/1a767b	10518366	NFCORE_RNASEQ:RNASEQ:ALIGN_STAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (P7_LIVER_RNA_HET_3_S6_L001)	COMPLETED	0	2023-08-27 04:42:11.596	5m 36s	3m 58s	146.0%	95.5 MB	257.1 MB	17.4 GB	7.3 MB
45	27/abf8b3	10517799	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (P7_LIVER_RNA_SMA_3_S3_L001)	COMPLETED	0	2023-08-27 03:03:48.247	1h 53m 13s	1h 53m 5s	110.9%	29.9 GB	33.6 GB	39.6 GB	26.2 GB
52	52/bcdf32	10518517	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:SAMTOOLS_INDEX (P7_LIVER_RNA_SMA_3_S3_L001)	COMPLETED	0	2023-08-27 04:57:02.570	4m 21s	3m 27s	145.3%	84.5 MB	240.3 MB	16 GB	6.7 MB
47	b4/8efa28	10517859	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:PICARD_MARKDUPLICATES (LIVER_RNA_SMA_2_S2_L001)	COMPLETED	0	2023-08-27 03:12:49.484	1h 52m 8s	1h 52m	109.2%	29.9 GB	33.6 GB	38.8 GB	25.7 GB
59	48/10bfa1	10518576	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_INFEREXPERIMENT (P7_LIVER_RNA_SMA_3_S3_L001)	COMPLETED	0	2023-08-27 05:01:40.143	3m 52s	9s	48.0%	37.9 MB	279.8 MB	46.2 MB	715 B
63	89/b87910	10518571	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_INNERDISTANCE (P7_LIVER_RNA_SMA_3_S3_L001)	COMPLETED	0	2023-08-27 05:01:30.031	5m 14s	1m 23s	91.9%	657.2 MB	1.2 GB	491.6 MB	62.8 MB
57	31/8ecf60	10518520	NFCORE_RNASEQ:RNASEQ:SUBREAD_FEATURECOUNTS (P7_LIVER_RNA_SMA_3_S3_L001)	COMPLETED	0	2023-08-27 04:57:03.166	13m 14s	12m 26s	192.0%	2.8 GB	3.3 GB	56.2 GB	29.9 GB
71	f0/b0f2dd	10518615	NFCORE_RNASEQ:RNASEQ:MULTIQC_CUSTOM_BIOTYPE (P7_LIVER_RNA_SMA_3_S3_L001)	COMPLETED	0	2023-08-27 05:10:18.351	34.8s	10s	10.1%	26.1 MB	41.6 MB	15.1 MB	3.5 KB
65	9f/c670e5	10518589	NFCORE_RNASEQ:RNASEQ:BAM_MARKDUPLICATES_PICARD:SAMTOOLS_INDEX (LIVER_RNA_SMA_2_S2_L001)	COMPLETED	0	2023-08-27 05:04:58.809	7m 49s	3m 23s	148.1%	82.9 MB	239.2 MB	15.6 GB	6.8 MB
76	26/427661	10518630	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_INFEREXPERIMENT (LIVER_RNA_SMA_2_S2_L001)	COMPLETED	0	2023-08-27 05:12:50.503	52.6s	6s	76.3%	37.9 MB	279.8 MB	45.7 MB	703 B
72	e0/ffb64f	10518631	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_INNERDISTANCE (LIVER_RNA_SMA_2_S2_L001)	COMPLETED	0	2023-08-27 05:12:50.706	2m 13s	1m 23s	97.0%	668.3 MB	1.2 GB	542.8 MB	63.5 MB
62	42/82b5fe	10518574	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_JUNCTIONANNOTATION (P7_LIVER_RNA_SMA_3_S3_L001)	COMPLETED	0	2023-08-27 05:01:37.609	15m 7s	11m 24s	99.1%	1 MB	11 MB	16.1 GB	97.3 MB
55	77/2e75d7	10518519	NFCORE_RNASEQ:RNASEQ:STRINGTIE_STRINGTIE (P7_LIVER_RNA_SMA_3_S3_L001)	COMPLETED	0	2023-08-27 04:57:02.993	20m 25s	19m 39s	115.3%	699.6 MB	965.2 MB	16.7 GB	289.1 MB
60	8b/6299ca	10518575	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_JUNCTIONSATURATION (P7_LIVER_RNA_SMA_3_S3_L001)	COMPLETED	0	2023-08-27 05:01:37.741	20m 38s	16m 54s	99.5%	1 MB	11 MB	16 GB	16.9 KB
64	82/db1277	10518570	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_BAMSTAT (P7_LIVER_RNA_SMA_3_S3_L001)	COMPLETED	0	2023-08-27 05:01:27.442	21m 8s	17m 10s	99.8%	34.8 MB	273 MB	16 GB	1.2 KB
70	83/d53215	10518593	NFCORE_RNASEQ:RNASEQ:SUBREAD_FEATURECOUNTS (LIVER_RNA_SMA_2_S2_L001)	COMPLETED	0	2023-08-27 05:05:01.569	18m 5s	13m 44s	188.2%	3 GB	3.5 GB	62.5 GB	35.2 GB
79	3e/caf88e	10518736	NFCORE_RNASEQ:RNASEQ:MULTIQC_CUSTOM_BIOTYPE (LIVER_RNA_SMA_2_S2_L001)	COMPLETED	0	2023-08-27 05:23:07.584	7.7s	2s	35.9%	9 MB	21.1 MB	15.1 MB	3.4 KB
66	22/2d7c70	10518590	NFCORE_RNASEQ:RNASEQ:STRINGTIE_STRINGTIE (LIVER_RNA_SMA_2_S2_L001)	COMPLETED	0	2023-08-27 05:04:58.958	19m 51s	19m 28s	112.2%	786 MB	1 GB	16.3 GB	289.3 MB
58	69/d739e6	10518573	NFCORE_RNASEQ:RNASEQ:BAM_RSEQC:RSEQC_READDISTRIBUTION (P7_LIVER_RNA_SMA_3_S3_L001)	COMPLETED	0	2023-08-27 05:01:35.018	24m 47s	20m 57s	99.7%	913.5 MB	1.1 GB	16.1 GB	1.6 KB
